ID,usecase,category,prompt,sources,Mock CSV
RCP-1,Cross-Channel Marketing ROI Analysis,Marketing,"Which marketing channels are 
giving us the best return on 
investment? Show me impression, click, overall performance and cost per acquisition across all our advertising platforms and create a dashboard.","facebook-ads, google-ads, google-analytics, linkedin-ads, tiktok-ads",Recipes%20Database%20241d568624128093b1bde0718b9200d9/marketing_mock_data.csv
RCP-2,Sales Performance Dashboard,Sales,"How is our sales team performing this quarter? Show me individual performance, pipeline, and deal conversion rates. Create a sales dashboard.",database,Recipes%20Database%20241d568624128093b1bde0718b9200d9/sales_performance_dashboard_q3_2025.csv
RCP-3,E-commerce Performance Analysis,Retail & E-Commerce,"How is our online store performing? Show me conversion rates, average order value, cart abandonment rates, and top-selling products. Create a comprehensive e-commerce dashboard.","facebook-ads, google-ads, google-analytics, shopify",Recipes%20Database%20241d568624128093b1bde0718b9200d9/ecommerce_performance_mock_q3_2025.csv
RCP-5,Comprehensive SEO Performance,Content & SEO,"How is our SEO performing? Show me keyword rankings, organic traffic trends, and page performance. Create a monthly SEO overview dashboard","google-analytics, google-searchconsole",Recipes%20Database%20241d568624128093b1bde0718b9200d9/seo_performance_monthly_may-aug2025.csv
RCP-8,Social Media Performance Tracking,Social Media & Brand,"How are our social media channels performing? Track engagement rates, follower growth, reach, and conversions across all platforms. Create a weekly social media dashboard.","facebook, google-analytics, instagram-business, linkedin-social",Recipes%20Database%20241d568624128093b1bde0718b9200d9/social_media_mock_data.csv
RCP-9,Product Usage Analytics,Product Management,"How are users engaging with our product features? Show me feature adoption rates, user journey analysis, and identify areas where users are dropping off.","database, google-analytics, mixpanel",Recipes%20Database%20241d568624128093b1bde0718b9200d9/product_usage_events_MayJune2025.csv
RCP-10,Profitability Analysis,Finance,"What are our most profitable products, channels, and customer segments? Calculate profit margins, contribution margins, and identify optimization opportunities.","database, google-sheets, stripe",Recipes%20Database%20241d568624128093b1bde0718b9200d9/profitability_mock_data.csv
RCP-11,Cash Flow Forecasting,Finance,"What will our cash flow look like over the next 6 months? Create predictive models based on historical patterns, seasonality, and current pipeline","database, google-sheets",Recipes%20Database%20241d568624128093b1bde0718b9200d9/cash_flow_forecast_mock_data.csv
RCP-12,Client Performance Dashboard,Agency,"Create comprehensive performance dashboard showing advertising spend, impression, click, CTR, leads generated, conversion rates, and ROI.","facebook-ads, google-ads, google-analytics, linkedin-ads, tiktok-ads",Recipes%20Database%20241d568624128093b1bde0718b9200d9/client_performance_dashboard_MayJune2025.csv
RCP-13,Paid vs Organic Traffic Blend,Marketing,"Blend paid and organic sessions for the past 90 days. Show cost‑per‑session, bounce rate and conversions by source/medium.","google-ads, google-analytics, google-searchconsole",Recipes%20Database%20241d568624128093b1bde0718b9200d9/paid_vs_organic_blend_mock_data.csv
RCP-14,SEO Health Monitor,Content & SEO,"How are our top‑15 landing pages ranking and trending? Surface pages that lost positions, estimate traffic loss and suggest “quick‑win” keywords.",google-searchconsole,Recipes%20Database%20241d568624128093b1bde0718b9200d9/seo_health_monitor_top15pages_JulAug2025.csv
RCP-15,Ecommerce Funnel Performance,Retail & E-Commerce,"Visualise the customer funnel from add‑to‑cart through checkout. Highlight drop‑off points, analyze my business and suggest me action items to increase conversions through the funnel steps.","google-analytics, shopify",Recipes%20Database%20241d568624128093b1bde0718b9200d9/ecommerce_funnel_mock_data.csv
RCP-16,Customer LTV Cohort Analysis,Growth,Build 12‑month LTV curves by acquisition channel. Segment by cohorts created in Mixpanel and visualise median payback period.,"mixpanel, stripe",Recipes%20Database%20241d568624128093b1bde0718b9200d9/customer_ltv_cohorts_12m_Jul2024-Jun2025.csv
RCP-17,Inventory Stock‑Out Prediction,Supply Chain,Predict SKU‑level stock‑out dates using historical sales and current inventory. Flag items at risk within 14 days.,"database, google-sheets",Recipes%20Database%20241d568624128093b1bde0718b9200d9/inventory_stockout_prediction_mock_data.csv
RCP-18,Product Feature Adoption,Product Management,"Show daily active users of new feature X vs control features, compute 7‑day rolling adoption and surface segments with lowest uptake.","database, mixpanel",Recipes%20Database%20241d568624128093b1bde0718b9200d9/product_feature_adoption_MayAug2025_small.csv
RCP-19,Subscription Pricing Strategy,Product Management,How do different pricing tiers/packages perform? Show me conversion rates by package,"database, stripe",Recipes%20Database%20241d568624128093b1bde0718b9200d9/subscription_pricing_strategy_mock_data.csv
RCP-20,Client ROI Proof,Agency,What ROI are my paid ads delivering? Show revenue generated vs ad spend across all campaigns.,"facebook-ads, google-ads, google-analytics, google-sheets, linkedin-ads, tiktok-ads",Recipes%20Database%20241d568624128093b1bde0718b9200d9/client_roi_proof_mock_data.csv
RCP-21,Keywords in Danger,Content & SEO,List all query–URL pairs that have fallen out of the top‑10 positions in the last 30 days and lost more than 25 % of clicks. Plot the drop and flag pages to refresh first.,google-searchconsole,Recipes%20Database%20241d568624128093b1bde0718b9200d9/keywords_in_danger_mock_data.csv
